SN,name,price_level,rate,rate_total,lat,lng
1,"Yokoso Korean & Japanese Restaurant",2,4.1,260,51.491902,-0.025863
2,"Paranhodu Korean Restaurant",0,4.3,210,51.472505,-0.0315132
3,"Korean BBQ and Vegan Restaurant",0,4.4,200,51.5201867,-0.0561191
4,"Bibimbap Soho",1,4.2,1541,51.5144005,-0.1309395
5,"Asadal Restaurant",2,3.6,559,51.517491,-0.120021
6,"Korean BBQ Dosirak",0,3.9,30,51.5298236,-0.0567297
7,"Arang Restaurant",2,4.1,857,51.5117194,-0.1365472
8,KOBA,2,4.1,760,51.5178726,-0.1347796
9,"Kalbi Korean BBQ & Sushi",2,3.9,538,51.524163,-0.110864
10,Naru,0,4.2,330,51.5167904,-0.1258894
11,Daebak,2,4.6,437,51.4865956,-0.1190241
12,"On The Bab",2,4.3,1255,51.5268633,-0.081634
13,"K Place",2,3.8,379,51.5104663,-0.083348
14,"Little Korea Restaurant",2,3.5,505,51.5111866,-0.131635
15,"Bento Bab",1,4.5,494,51.5157496,-0.0719677
16,Kimchee,2,4.1,966,51.5337016,-0.1251362
17,"BI WON Korean Restaurant",0,3.9,245,51.517235,-0.125904
18,CheeMc,2,4.1,595,51.4864791,-0.0948533
19,"Kinkao Korean",2,4,307,51.5225689,-0.071491
20,"3Kobros Korean Takeaway (Shoreditch Branch)",0,4.6,5,51.5234045,-0.0637554
21,Kimchee,2,4.1,2030,51.5181573,-0.1163303
22,"GoGo Pocha",1,4.3,679,51.501011,-0.112185
23,Tohbang,0,4.5,433,51.5221392,-0.1109884
24,"Arirang Restaurant",2,3.9,487,51.5155428,-0.1374996
25,"Myung Ga Restaurant",2,3.8,480,51.5120472,-0.1385056
26,JIHWAJA,0,4.2,290,51.4863088,-0.1195353
27,"Jinjuu Soho",2,4,899,51.5127111,-0.139325
28,"Olle Korean Barbecue",0,4.1,677,51.5120671,-0.1314853
29,"Seoul Bakery",1,4.3,700,51.5172892,-0.1295339
30,"Hana Korean Restaurant",2,4.3,343,51.4609593,-0.1658274
31,"YORI (Piccadilly Circus)",2,4.6,2020,51.5093037,-0.1318331
32,Assa,2,4.3,953,51.5128311,-0.1312998
33,"Lime Orange",2,4.3,1029,51.4956367,-0.1419231
34,"Bibimbap ToGo Leadenhall Market",0,3.9,48,51.5123778,-0.0837361
35,Masigo,0,4.6,232,51.533651,-0.108363
36,"Bibimbap Charlotte Street",1,4.3,625,51.5183638,-0.1344911
37,"SSÄM - Korean Dining",0,4.6,280,51.5515969,-0.1112203
38,"Bibimbap ToGo Cannon Street",0,4,27,51.5119659,-0.0892308
39,JIJIGO,0,4.5,103,51.5400556,-0.0553232
40,"On The Bab St Paul's",0,4.5,152,51.513476,-0.1025211
41,Hozi,2,4.1,439,51.520237,-0.117694
42,"Bibimbap ToGo Bank",0,4.1,15,51.5115177,-0.0871088
43,"Han Kang",2,4.2,409,51.5169269,-0.1318074
44,"Korean bistro",0,4.3,16,51.4862619,-0.1194844
45,"Yanji BBQ 延吉小串",0,4.2,162,51.5254742,-0.0706879
46,"On the Bab Covent Garden",2,4.3,1278,51.5124512,-0.1207402
47,"Woo Jung",2,4.2,70,51.516624,-0.1279575
48,"Kangnam Pocha",0,4.3,212,51.515555,-0.1233688
49,"SuperStar BBQ",2,4,1264,51.5157167,-0.1275972
50,Dotori,2,4.6,903,51.564676,-0.105179
51,"K-Pot Oriental Korean Asian Food",0,4.8,4,51.5582927,-0.1177956
52,"SOJU & CO",0,4.1,306,51.5115351,-0.1346324
53,"Gaza Cafe Soho",2,4.4,445,51.5138898,-0.1309731
54,"Co&Ko (Jeon's Kitchen)",0,4.7,164,51.5147632,-0.1360693
55,"London Naru Korean",0,4.9,134,51.4773975,-0.0158725
56,"DODAM KOREA",0,4.8,60,51.5271629,-0.0972779
57,"Bari Bari",2,4.3,404,51.5153719,-0.0687747
58,"On the Bab Soho",2,4.3,281,51.5118013,-0.1336743
59,"ANJU Korean kitchen @the Gun",0,4.6,8,51.5441597,-0.047007
60,"Bento Bab",0,5,16,51.5119349,-0.0687524
